"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2021","542.95","553.97","557.54","538.20","5.71M","-0.91%"
"07/14/2021","547.95","541.01","554.10","541.01","4.66M","1.34%"
"07/13/2021","540.68","535.76","545.33","535.76","2.75M","0.63%"
"07/12/2021","537.31","540.30","540.65","532.92","1.78M","0.25%"
"07/09/2021","535.98","531.00","538.26","528.58","2.78M","0.98%"
"07/08/2021","530.76","530.93","535.50","529.09","3.27M","-0.97%"
"07/07/2021","535.96","544.24","544.64","531.66","2.72M","-1.05%"
"07/06/2021","541.64","533.00","542.86","533.00","2.78M","1.43%"
"07/02/2021","533.98","535.50","538.54","529.39","1.98M","0.08%"
"07/01/2021","533.54","525.72","537.04","525.72","2.81M","1.01%"
"06/30/2021","528.21","534.06","534.38","526.82","2.77M","-0.99%"
"06/29/2021","533.50","533.55","536.13","528.57","2.31M","0.09%"
"06/28/2021","533.03","528.12","533.94","524.56","2.82M","1.13%"
"06/25/2021","527.07","528.84","533.06","525.00","5.30M","1.74%"
"06/24/2021","518.06","517.96","520.96","514.40","3.36M","1.04%"
"06/23/2021","512.74","508.48","516.63","508.20","3.94M","0.77%"
"06/22/2021","508.82","498.54","513.55","495.80","5.81M","2.38%"
"06/21/2021","497.00","501.64","502.05","492.28","5.28M","-0.75%"
"06/18/2021","500.77","496.40","504.49","495.24","5.20M","0.49%"
"06/17/2021","498.34","490.25","501.80","490.15","3.20M","1.20%"
"06/16/2021","492.41","495.00","496.46","486.28","3.53M","0.10%"
"06/15/2021","491.90","501.23","501.23","490.40","3.10M","-1.60%"
"06/14/2021","499.89","489.68","503.50","486.91","4.40M","2.28%"
"06/11/2021","488.77","490.00","491.41","487.78","3.12M","0.31%"
"06/10/2021","487.27","487.17","490.21","482.14","4.38M","0.30%"
"06/09/2021","485.81","494.50","496.09","484.65","3.06M","-1.34%"
"06/08/2021","492.39","497.00","498.82","489.37","2.37M","-0.46%"
"06/07/2021","494.66","492.92","496.70","490.55","2.79M","-0.02%"
"06/04/2021","494.74","492.00","501.86","490.95","3.16M","1.08%"
"06/03/2021","489.43","495.19","496.66","487.25","3.89M","-1.96%"
"06/02/2021","499.24","499.82","503.22","495.82","2.27M","0.03%"
"06/01/2021","499.08","504.01","505.41","497.74","2.48M","-0.74%"
"05/28/2021","502.81","504.40","511.76","502.53","2.91M","-0.21%"
"05/27/2021","503.86","501.80","505.10","498.54","3.25M","0.30%"
"05/26/2021","502.36","502.34","504.14","500.50","2.47M","0.20%"
"05/25/2021","501.34","506.00","506.36","499.22","2.70M","-0.31%"
"05/24/2021","502.90","501.05","504.25","499.51","2.41M","1.01%"
"05/21/2021","497.89","503.12","505.40","497.26","3.32M","-0.75%"
"05/20/2021","501.67","489.55","502.70","488.98","3.72M","2.86%"
"05/19/2021","487.70","481.63","488.57","478.54","3.35M","0.29%"
"05/18/2021","486.28","488.39","493.48","486.19","2.35M","-0.54%"
"05/17/2021","488.94","485.59","492.71","482.81","2.71M","-0.90%"
"05/14/2021","493.37","487.86","494.85","486.59","2.88M","1.38%"
"05/13/2021","486.66","489.13","490.77","482.71","2.72M","0.35%"
"05/12/2021","484.98","486.83","493.54","482.70","4.12M","-2.04%"
"05/11/2021","495.08","479.75","497.99","478.63","4.40M","1.72%"
"05/10/2021","486.69","502.00","503.15","486.11","5.13M","-3.40%"
"05/07/2021","503.84","504.62","508.55","501.12","3.13M","0.86%"
"05/06/2021","499.55","495.99","499.55","491.37","3.78M","0.70%"
"05/05/2021","496.08","504.99","507.78","494.63","3.13M","-1.41%"
"05/04/2021","503.18","510.78","511.63","496.79","4.35M","-1.16%"
"05/03/2021","509.11","512.65","518.95","505.20","4.09M","-0.85%"
"04/30/2021","513.47","505.00","514.55","505.00","4.41M","0.88%"
"04/29/2021","509.00","507.60","509.29","499.00","5.13M","0.49%"
"04/28/2021","506.52","505.20","508.39","503.34","3.19M","0.19%"
"04/27/2021","505.55","512.62","512.99","504.58","3.76M","-0.93%"
"04/26/2021","510.30","506.76","510.48","503.00","4.39M","0.94%"
"04/23/2021","505.55","509.01","509.70","500.70","7.31M","-0.63%"
"04/22/2021","508.78","513.82","513.96","500.55","9.06M","-0.02%"
"04/21/2021","508.90","508.00","515.46","503.60","22.90M","-7.40%"
"04/20/2021","549.57","554.42","563.56","546.30","11.26M","-0.88%"
"04/19/2021","554.44","546.90","556.44","545.53","4.29M","1.45%"
"04/16/2021","546.54","550.54","551.98","539.51","3.21M","-0.49%"
"04/15/2021","549.22","544.17","553.49","542.66","3.14M","1.70%"
"04/14/2021","540.02","554.87","554.87","538.53","3.74M","-2.48%"
"04/13/2021","553.73","557.00","559.75","550.30","2.72M","0.17%"
"04/12/2021","552.78","551.05","557.98","549.58","2.94M","-0.46%"
"04/09/2021","555.31","552.69","556.90","547.11","2.89M","0.13%"
"04/08/2021","554.58","551.13","556.90","547.57","4.31M","1.39%"
"04/07/2021","546.99","543.50","549.64","541.45","2.15M","0.45%"
"04/06/2021","544.53","544.81","554.16","543.30","3.47M","0.71%"
"04/05/2021","540.67","540.01","542.85","529.23","3.36M","0.23%"
"04/01/2021","539.42","529.93","540.50","527.03","3.94M","3.40%"
"03/31/2021","521.66","515.67","528.13","515.44","3.50M","1.61%"
"03/30/2021","513.39","510.51","514.41","506.91","2.42M","-0.11%"
"03/29/2021","513.95","505.66","518.00","504.40","3.33M","1.16%"
"03/26/2021","508.05","502.82","508.72","496.68","3.47M","1.03%"
"03/25/2021","502.86","516.99","518.53","497.00","4.93M","-3.45%"
"03/24/2021","520.81","533.78","534.42","520.00","4.10M","-2.67%"
"03/23/2021","535.09","529.87","543.12","529.40","5.58M","2.29%"
"03/22/2021","523.11","509.13","529.31","509.13","3.36M","2.13%"
"03/19/2021","512.18","504.96","513.19","501.63","4.39M","1.46%"
"03/18/2021","504.79","516.40","517.90","503.85","4.10M","-3.75%"
"03/17/2021","524.44","522.00","528.37","514.30","2.82M","0.08%"
"03/16/2021","524.03","524.47","533.42","523.21","3.24M","0.73%"
"03/15/2021","520.25","516.32","520.73","508.03","3.49M","0.43%"
"03/12/2021","518.02","512.50","526.51","506.59","3.98M","-0.96%"
"03/11/2021","523.06","512.20","530.23","510.71","4.71M","3.67%"
"03/10/2021","504.54","513.50","518.97","504.25","3.77M","-0.38%"
"03/09/2021","506.44","507.31","513.11","503.82","3.47M","2.66%"
"03/08/2021","493.33","514.46","518.84","492.85","3.98M","-4.47%"
"03/05/2021","516.39","511.98","517.76","498.79","5.07M","1.00%"
"03/04/2021","511.29","521.50","531.50","507.68","5.03M","-1.81%"
"03/03/2021","520.70","545.93","548.01","517.81","5.36M","-4.95%"
"03/02/2021","547.82","553.34","556.99","546.02","3.04M","-0.51%"
"03/01/2021","550.64","545.57","552.14","542.00","3.04M","2.19%"
"02/26/2021","538.85","546.51","553.09","538.00","3.76M","-1.44%"
"02/25/2021","546.70","550.27","556.48","535.75","4.25M","-1.21%"
"02/24/2021","553.41","539.80","556.85","539.07","3.25M","1.33%"
"02/23/2021","546.15","525.00","548.54","518.28","4.14M","2.32%"
"02/22/2021","533.78","534.99","541.79","530.79","3.08M","-1.19%"
"02/19/2021","540.22","548.00","548.99","538.81","2.84M","-1.46%"
"02/18/2021","548.22","549.00","550.00","538.23","2.46M","-0.57%"
"02/17/2021","551.34","550.99","555.25","543.03","2.07M","-1.07%"
"02/16/2021","557.28","557.29","563.63","552.73","2.62M","0.14%"
"02/12/2021","556.52","556.94","561.25","550.85","2.20M","-0.19%"
"02/11/2021","557.59","564.44","565.93","554.22","2.73M","-1.06%"
"02/10/2021","563.59","562.50","566.65","553.46","3.99M","0.81%"
"02/09/2021","559.07","546.00","566.00","543.00","3.70M","2.03%"
"02/08/2021","547.92","555.00","555.00","543.70","2.79M","-0.52%"
"02/05/2021","550.79","552.26","554.44","545.48","2.38M","-0.25%"
"02/04/2021","552.16","539.81","559.48","537.51","5.16M","2.36%"
"02/03/2021","539.45","550.17","550.48","538.24","3.17M","-1.59%"
"02/02/2021","548.16","542.01","555.48","538.93","3.77M","1.69%"
"02/01/2021","539.04","536.79","545.06","531.73","3.55M","1.25%"
"01/29/2021","532.39","538.00","541.00","530.18","4.33M","-1.15%"
"01/28/2021","538.60","535.88","553.15","530.74","5.97M","2.93%"
"01/27/2021","523.28","550.71","556.42","515.73","8.67M","-6.88%"
"01/26/2021","561.93","554.73","567.99","554.06","5.02M","0.92%"
"01/25/2021","556.78","567.00","569.75","548.65","7.21M","-1.48%"
"01/22/2021","565.17","582.10","583.99","564.35","7.55M","-2.53%"
"01/21/2021","579.84","582.45","588.75","570.40","11.84M","-1.11%"
"01/20/2021","586.34","565.42","593.29","556.86","32.64M","16.85%"
"01/19/2021","501.77","501.00","509.25","493.54","12.32M","0.76%"
"01/15/2021","497.98","500.00","506.32","495.10","5.90M","-0.58%"
"01/14/2021","500.86","507.35","514.50","499.58","4.18M","-1.36%"
"01/13/2021","507.79","495.50","512.35","493.01","5.03M","2.74%"
"01/12/2021","494.25","500.00","501.09","485.67","5.99M","-0.97%"
"01/11/2021","499.10","507.84","510.73","497.95","3.81M","-2.21%"
"01/08/2021","510.40","511.31","513.24","504.51","2.97M","0.30%"
"01/07/2021","508.89","508.28","516.44","506.42","3.69M","1.68%"
"01/06/2021","500.49","511.97","513.10","499.50","5.35M","-3.90%"
"01/05/2021","520.80","521.55","526.78","515.89","3.13M","-0.39%"
"01/04/2021","522.86","539.00","540.80","515.09","4.44M","-3.30%"
"12/31/2020","540.73","525.53","545.50","523.15","5.39M","3.08%"
"12/30/2020","524.59","530.13","533.26","523.69","1.88M","-1.18%"
"12/29/2020","530.87","519.90","536.55","515.48","4.02M","2.26%"
"12/28/2020","519.12","516.43","523.66","507.13","2.89M","1.00%"
"12/24/2020","513.97","515.12","519.34","512.21","1.14M","-0.10%"
"12/23/2020","514.48","524.76","526.32","514.20","2.39M","-2.44%"
"12/22/2020","527.33","527.69","530.40","520.50","1.91M","-0.30%"
"12/21/2020","528.91","530.05","532.62","521.15","3.89M","-1.04%"
"12/18/2020","534.45","533.20","536.37","526.02","4.50M","0.29%"
"12/17/2020","532.90","529.00","535.49","526.44","3.19M","1.54%"
"12/16/2020","524.83","520.11","527.38","517.69","3.68M","0.97%"
"12/15/2020","519.78","518.50","524.70","513.56","3.40M","-0.51%"
"12/14/2020","522.42","505.44","524.16","501.18","5.77M","3.82%"
"12/11/2020","503.22","495.00","503.34","494.85","3.21M","0.43%"
"12/10/2020","501.09","494.56","503.77","492.91","3.02M","1.52%"
"12/09/2020","493.60","510.53","514.50","491.29","4.18M","-3.72%"
"12/08/2020","512.66","517.90","521.49","505.55","4.23M","-0.60%"
"12/07/2020","515.78","500.01","517.76","497.77","4.29M","3.51%"
"12/04/2020","498.31","497.50","504.50","493.64","3.67M","0.16%"
"12/03/2020","497.52","502.99","508.77","496.04","2.83M","-1.16%"
"12/02/2020","503.38","501.62","506.80","493.50","3.03M","-0.24%"
"12/01/2020","504.58","492.34","509.47","491.98","5.06M","2.83%"
"11/30/2020","490.70","490.08","492.55","481.27","3.53M","-0.13%"
"11/27/2020","491.36","486.58","493.25","481.85","2.81M","1.31%"
"11/25/2020","485.00","485.13","486.90","478.92","3.60M","0.44%"
"11/24/2020","482.88","478.84","484.05","475.89","3.56M","1.31%"
"11/23/2020","476.62","490.46","491.15","475.84","5.42M","-2.38%"
"11/20/2020","488.24","485.22","494.76","481.57","4.26M","0.74%"
"11/19/2020","484.67","482.00","487.80","480.47","2.25M","0.60%"
"11/18/2020","481.79","481.95","488.61","477.72","3.63M","0.24%"
"11/17/2020","480.63","480.12","487.51","478.85","3.70M","0.32%"
"11/16/2020","479.10","480.00","485.58","477.30","3.95M","-0.77%"
"11/13/2020","482.84","486.77","488.94","477.80","3.01M","-0.81%"
"11/12/2020","486.77","491.00","496.52","480.43","5.07M","-0.81%"
"11/11/2020","490.76","483.00","491.68","478.26","5.46M","2.19%"
"11/10/2020","480.24","470.95","484.60","463.41","8.31M","2.07%"
"11/09/2020","470.50","485.54","495.85","467.26","10.42M","-8.59%"
"11/06/2020","514.73","515.00","515.21","502.51","4.24M","0.19%"
"11/05/2020","513.76","506.56","518.73","503.45","5.37M","3.38%"
"11/04/2020","496.95","495.36","507.73","493.98","5.14M","2.00%"
"11/03/2020","487.22","484.93","495.30","478.76","3.69M","0.64%"
"11/02/2020","484.12","478.87","486.30","475.00","4.41M","1.76%"
"10/30/2020","475.74","502.01","505.88","472.21","7.81M","-5.65%"
"10/29/2020","504.21","488.50","513.90","479.34","11.12M","3.70%"
"10/28/2020","486.24","486.36","494.00","483.28","5.99M","-0.55%"
"10/27/2020","488.93","490.01","490.49","482.93","3.63M","0.14%"
"10/26/2020","488.24","487.02","496.82","478.90","6.19M","-0.01%"
"10/23/2020","488.28","488.11","490.06","481.35","4.93M","0.63%"
"10/22/2020","485.23","494.69","495.14","482.00","7.00M","-0.78%"
"10/21/2020","489.05","501.03","506.85","488.25","17.41M","-6.92%"
"10/20/2020","525.42","528.14","533.78","522.26","10.05M","-1.00%"
"10/19/2020","530.72","537.07","541.80","525.38","7.57M","-0.01%"
"10/16/2020","530.79","549.50","554.33","530.03","6.35M","-2.06%"
"10/15/2020","541.94","545.52","551.22","535.10","5.11M","0.09%"
"10/14/2020","541.45","562.61","572.49","541.00","9.51M","-2.28%"
"10/13/2020","554.09","540.56","557.65","537.20","5.60M","2.65%"
"10/12/2020","539.81","548.81","551.81","538.24","5.39M","0.07%"
"10/09/2020","539.44","537.83","544.28","535.00","4.78M","1.44%"
"10/08/2020","531.79","533.48","535.00","524.15","5.39M","-0.54%"
"10/07/2020","534.66","518.00","536.49","515.82","7.99M","5.69%"
"10/06/2020","505.87","518.72","521.82","504.16","4.20M","-2.84%"
"10/05/2020","520.65","506.80","520.99","501.70","4.09M","3.50%"
"10/02/2020","503.06","516.43","526.37","502.70","6.07M","-4.63%"
"10/01/2020","527.51","506.03","529.55","503.60","8.15M","5.50%"
"09/30/2020","500.03","492.57","504.63","489.27","4.63M","1.33%"
"09/29/2020","493.48","489.50","496.29","486.53","3.54M","0.58%"
"09/28/2020","490.65","489.11","492.00","477.88","4.77M","1.61%"
"09/25/2020","482.88","474.39","484.87","468.03","3.77M","2.07%"
"09/24/2020","473.08","470.53","477.00","467.82","3.73M","0.52%"
"09/23/2020","470.61","491.04","491.04","469.00","3.73M","-4.19%"
"09/22/2020","491.17","489.01","491.82","479.26","3.48M","0.78%"
"09/21/2020","487.35","467.69","487.77","466.32","5.46M","3.70%"
"09/18/2020","469.96","472.51","479.40","458.60","6.72M","-0.05%"
"09/17/2020","470.20","475.16","478.40","463.27","5.38M","-2.82%"
"09/16/2020","483.86","499.99","504.66","483.31","4.40M","-2.45%"
"09/15/2020","495.99","484.00","497.47","481.63","5.34M","4.14%"
"09/14/2020","476.26","480.62","488.99","471.30","7.36M","-1.20%"
"09/11/2020","482.03","486.48","493.73","476.81","5.04M","0.28%"
"09/10/2020","480.67","503.35","506.29","478.84","6.24M","-3.90%"
"09/09/2020","500.19","519.21","520.00","492.57","6.85M","-1.35%"
"09/08/2020","507.02","498.40","522.00","495.00","5.57M","-1.75%"
"09/04/2020","516.05","520.18","527.36","485.98","8.27M","-1.84%"
"09/03/2020","525.75","545.00","554.00","521.32","9.07M","-4.90%"
"09/02/2020","552.84","553.78","556.50","537.37","5.89M","-0.67%"
"09/01/2020","556.55","532.60","557.39","532.45","9.58M","5.10%"
"08/31/2020","529.56","521.16","531.99","517.58","4.94M","1.08%"
"08/28/2020","523.89","532.00","539.00","522.00","4.42M","-0.45%"
"08/27/2020","526.27","537.78","541.00","521.25","9.06M","-3.88%"
"08/26/2020","547.53","492.50","549.04","492.08","20.37M","11.61%"
"08/25/2020","490.58","488.19","492.47","485.09","5.73M","0.36%"
"08/24/2020","488.81","495.44","501.00","483.16","4.76M","-0.71%"
"08/21/2020","492.31","496.46","498.13","490.00","3.92M","-1.12%"
"08/20/2020","497.90","484.69","498.94","483.89","5.13M","2.76%"
"08/19/2020","484.53","493.93","494.50","483.50","3.16M","-1.49%"
"08/18/2020","491.87","484.35","495.30","482.80","3.51M","1.97%"
"08/17/2020","482.35","484.19","486.24","479.10","2.42M","-0.07%"
"08/14/2020","482.68","482.82","488.33","480.21","2.94M","0.28%"
"08/13/2020","481.33","478.40","484.45","476.45","3.01M","1.23%"
"08/12/2020","475.47","471.34","482.49","470.18","5.44M","1.83%"
"08/11/2020","466.93","479.75","480.92","466.55","7.33M","-3.40%"
"08/10/2020","483.38","493.35","497.46","478.63","4.69M","-2.29%"
"08/07/2020","494.73","505.45","508.29","486.68","5.91M","-2.82%"
"08/06/2020","509.08","504.11","510.82","498.70","3.73M","1.39%"
"08/05/2020","502.11","508.68","510.10","501.20","4.31M","-1.48%"
"08/04/2020","509.64","498.65","510.44","498.65","5.61M","2.21%"
"08/03/2020","498.62","490.86","503.09","490.23","5.88M","1.99%"
"07/31/2020","488.88","488.29","494.80","484.50","5.92M","0.63%"
"07/30/2020","485.80","480.71","488.35","477.51","6.61M","0.27%"
"07/29/2020","484.48","492.25","494.92","484.13","6.61M","-0.82%"
"07/28/2020","488.51","496.02","497.79","487.76","5.99M","-1.44%"
"07/27/2020","495.65","484.51","496.92","482.31","7.86M","3.16%"
"07/24/2020","480.45","468.77","487.17","467.54","7.75M","0.60%"
"07/23/2020","477.58","491.13","491.90","472.02","7.72M","-2.50%"
"07/22/2020","489.82","492.19","497.20","487.20","6.95M","-0.06%"
"07/21/2020","490.10","506.00","506.22","488.61","9.13M","-2.45%"
"07/20/2020","502.41","489.14","504.50","484.20","11.94M","1.91%"
"07/17/2020","492.99","494.87","503.59","484.14","24.99M","-6.52%"
"07/16/2020","527.39","526.48","535.54","504.36","24.50M","0.79%"
"07/15/2020","523.26","516.30","529.00","510.18","10.07M","-0.31%"
"07/14/2020","524.88","517.08","525.50","490.49","15.08M","-0.12%"
"07/13/2020","525.50","567.98","575.37","520.96","18.40M","-4.23%"
"07/10/2020","548.73","519.73","555.88","511.28","21.61M","8.07%"
"07/09/2020","507.76","508.40","510.00","495.78","5.84M","0.99%"
"07/08/2020","502.78","498.58","505.10","493.81","5.69M","1.95%"
"07/07/2020","493.16","497.31","504.82","490.83","5.67M","-0.13%"
"07/06/2020","493.81","480.77","499.50","479.80","7.84M","3.55%"
"07/02/2020","476.89","485.64","492.28","475.53","6.35M","-1.80%"
"07/01/2020","485.64","454.00","488.23","454.00","9.71M","6.72%"
"06/30/2020","455.04","450.02","457.59","447.00","4.20M","1.74%"
"06/29/2020","447.24","445.23","447.67","432.14","4.84M","0.87%"
"06/26/2020","443.40","466.39","468.03","442.24","6.80M","-4.83%"
"06/25/2020","465.91","458.86","467.01","454.00","4.13M","1.76%"
"06/24/2020","457.85","468.54","472.36","454.00","4.83M","-1.80%"
"06/23/2020","466.26","466.50","474.01","464.50","5.95M","-0.38%"
"06/22/2020","468.04","455.01","468.59","454.21","6.27M","3.16%"
"06/19/2020","453.72","449.12","453.97","445.60","5.93M","0.86%"
"06/18/2020","449.87","448.73","452.76","442.80","4.28M","0.47%"
"06/17/2020","447.77","441.82","450.46","439.22","6.53M","2.67%"
"06/16/2020","436.13","425.76","437.96","425.18","5.51M","2.50%"
"06/15/2020","425.50","421.40","426.49","415.42","4.47M","1.78%"
"06/12/2020","418.07","429.00","434.06","412.45","6.46M","-1.76%"
"06/11/2020","425.56","428.20","445.57","424.16","7.46M","-2.05%"
"06/10/2020","434.48","436.00","439.69","430.55","4.90M","0.10%"
"06/09/2020","434.05","421.65","434.73","420.31","6.80M","3.47%"
"06/08/2020","419.49","416.00","420.80","406.50","5.85M","-0.03%"
"06/05/2020","419.60","407.29","420.24","404.25","5.10M","1.27%"
"06/04/2020","414.33","422.39","428.71","410.03","5.41M","-1.81%"
"06/03/2020","421.97","426.95","427.10","418.05","4.32M","-1.25%"
"06/02/2020","427.31","425.87","427.59","419.46","3.49M","0.33%"
"06/01/2020","425.92","418.83","426.72","415.98","3.75M","1.47%"
"05/29/2020","419.73","417.46","420.30","411.85","5.27M","1.52%"
"05/28/2020","413.44","417.24","422.37","411.50","5.66M","-1.54%"
"05/27/2020","419.89","410.38","420.02","397.86","10.45M","1.23%"
"05/26/2020","414.77","427.77","428.50","413.14","7.88M","-3.39%"
"05/22/2020","429.32","437.00","439.09","427.18","5.42M","-1.59%"
"05/21/2020","436.25","448.56","448.96","430.25","9.12M","-2.55%"
"05/20/2020","447.67","454.25","455.81","444.00","5.61M","-0.75%"
"05/19/2020","451.04","453.40","458.97","450.46","4.81M","-0.34%"
"05/18/2020","452.58","451.16","456.36","443.35","7.78M","-0.35%"
"05/15/2020","454.19","440.70","455.00","437.51","7.24M","2.77%"
"05/14/2020","441.95","444.90","452.38","432.82","9.01M","0.84%"
"05/13/2020","438.27","435.69","447.00","427.27","7.01M","1.49%"
"05/12/2020","431.82","442.00","444.17","431.36","4.60M","-1.97%"
"05/11/2020","440.52","436.33","444.89","435.56","5.49M","1.14%"
"05/08/2020","435.55","434.14","442.00","433.64","5.05M","-0.22%"
"05/07/2020","436.53","436.89","438.88","430.66","5.65M","0.52%"
"05/06/2020","434.26","429.30","439.77","426.39","6.66M","2.26%"
"05/05/2020","424.68","427.55","431.00","421.56","6.29M","-0.81%"
"05/04/2020","428.15","417.78","428.54","414.87","7.80M","3.10%"
"05/01/2020","415.27","415.10","427.97","411.73","8.30M","-1.09%"
"04/30/2020","419.85","410.31","424.44","408.00","7.95M","1.93%"
"04/29/2020","411.89","399.53","415.86","393.60","9.69M","2.00%"
"04/28/2020","403.83","419.99","421.00","402.91","10.10M","-4.16%"
"04/27/2020","421.38","425.00","429.00","420.84","6.28M","-0.85%"
"04/24/2020","424.99","425.00","427.17","415.88","8.67M","-0.40%"
"04/23/2020","426.70","419.26","438.41","419.26","13.95M","1.25%"
"04/22/2020","421.42","429.73","433.00","413.00","21.12M","-2.86%"
"04/21/2020","433.83","444.77","447.00","425.60","23.18M","-0.84%"
"04/20/2020","437.49","435.17","444.49","430.56","12.66M","3.44%"
"04/17/2020","422.96","431.00","432.00","414.70","12.62M","-3.69%"
"04/16/2020","439.17","437.00","449.52","431.61","16.13M","2.91%"
"04/15/2020","426.75","413.00","434.98","412.25","13.56M","3.19%"
"04/14/2020","413.55","397.50","417.82","394.85","11.58M","4.24%"
"04/13/2020","396.72","371.31","400.51","367.70","11.69M","7.01%"
"04/09/2020","370.72","371.06","372.10","363.03","7.71M","-0.11%"
"04/08/2020","371.12","374.01","378.39","368.31","6.91M","-0.31%"
"04/07/2020","372.28","380.00","381.33","369.34","7.05M","-2.02%"
"04/06/2020","379.96","365.22","380.29","361.71","8.18M","5.03%"
"04/03/2020","361.76","367.47","370.90","357.51","4.86M","-2.25%"
"04/02/2020","370.08","364.08","370.99","360.06","4.59M","1.65%"
"04/01/2020","364.08","376.05","380.23","361.02","6.67M","-3.04%"
"03/31/2020","375.50","367.93","383.01","366.44","9.37M","1.22%"
"03/30/2020","370.96","363.00","377.80","361.17","8.62M","3.88%"
"03/27/2020","357.12","359.09","368.56","353.00","7.95M","-1.62%"
"03/26/2020","362.99","344.00","363.84","341.73","7.24M","6.02%"
"03/25/2020","342.39","361.02","362.00","339.17","8.77M","-4.18%"
"03/24/2020","357.32","369.91","372.05","353.21","11.64M","-0.82%"
"03/23/2020","360.27","347.89","366.11","340.88","13.45M","8.24%"
"03/20/2020","332.83","342.31","350.49","332.00","10.85M","0.24%"
"03/19/2020","332.03","324.06","348.38","316.87","10.62M","5.25%"
"03/18/2020","315.47","300.77","331.50","300.03","12.59M","-1.34%"
"03/17/2020","319.75","306.19","322.90","290.25","10.01M","7.00%"
"03/16/2020","298.84","306.63","334.35","294.75","10.56M","-11.14%"
"03/13/2020","336.30","330.51","336.42","307.39","9.46M","6.68%"
"03/12/2020","315.25","326.50","335.72","307.32","12.07M","-9.91%"
"03/11/2020","349.92","358.92","362.98","344.79","6.06M","-3.90%"
"03/10/2020","364.13","356.43","364.54","347.85","7.60M","5.09%"
"03/09/2020","346.49","343.86","357.47","341.72","7.41M","-6.09%"
"03/06/2020","368.97","367.70","371.31","356.85","8.15M","-1.02%"
"03/05/2020","372.78","381.00","391.40","368.64","8.75M","-2.87%"
"03/04/2020","383.79","377.77","384.01","370.51","5.49M","4.07%"
"03/03/2020","368.77","381.03","393.52","367.40","8.36M","-3.22%"
"03/02/2020","381.05","373.11","381.36","364.50","7.00M","3.26%"
"02/28/2020","369.03","364.21","376.77","356.80","11.18M","-0.72%"
"02/27/2020","371.71","371.46","391.56","370.60","10.97M","-1.99%"
"02/26/2020","379.24","366.31","382.00","365.00","8.96M","5.32%"
"02/25/2020","360.09","372.00","375.65","357.72","6.48M","-2.34%"
"02/24/2020","368.70","364.76","372.82","361.00","6.94M","-2.99%"
"02/21/2020","380.07","385.33","387.32","377.90","3.94M","-1.54%"
"02/20/2020","386.00","386.56","389.70","376.68","4.08M","-0.05%"
"02/19/2020","386.19","388.12","392.95","384.90","4.90M","-0.41%"
"02/18/2020","387.78","379.30","389.54","379.19","5.18M","1.94%"
"02/14/2020","380.40","381.47","385.15","379.43","3.74M","-0.26%"
"02/13/2020","381.40","376.96","385.37","376.51","4.49M","0.37%"
"02/12/2020","380.01","377.18","380.62","375.88","4.62M","1.69%"
"02/11/2020","373.69","373.75","378.11","369.72","4.77M","0.71%"
"02/10/2020","371.07","365.00","374.80","362.52","5.29M","1.17%"
"02/07/2020","366.77","365.04","371.80","363.57","4.39M","-0.05%"
"02/06/2020","366.95","369.60","371.55","362.50","3.92M","-0.74%"
"02/05/2020","369.67","375.12","375.25","362.30","6.44M","0.18%"
"02/04/2020","369.01","361.00","369.57","356.10","7.16M","3.08%"
"02/03/2020","358.00","347.24","359.63","346.28","6.67M","3.74%"
"01/31/2020","345.09","347.39","347.39","340.98","5.23M","-0.76%"
"01/30/2020","347.74","341.10","348.20","339.25","5.33M","1.33%"
"01/29/2020","343.16","349.00","349.40","338.55","7.65M","-1.54%"
"01/28/2020","348.52","345.88","352.40","342.78","6.82M","1.64%"
"01/27/2020","342.88","345.95","351.90","341.02","7.71M","-2.91%"
"01/24/2020","353.16","348.46","359.85","345.88","17.94M","1.02%"
"01/23/2020","349.60","326.04","349.88","325.01","18.20M","7.24%"
"01/22/2020","326.00","332.55","336.30","323.60","21.73M","-3.58%"
"01/21/2020","338.11","340.00","341.00","332.59","14.35M","-0.46%"
"01/17/2020","339.67","341.00","341.57","337.38","6.07M","0.31%"
"01/16/2020","338.62","343.50","343.56","335.85","5.02M","-0.13%"
"01/15/2020","339.07","338.68","343.17","336.60","5.16M","0.11%"
"01/14/2020","338.69","344.40","345.38","335.52","7.20M","-0.07%"
"01/13/2020","338.92","331.80","340.85","331.51","6.30M","3.00%"
"01/10/2020","329.05","337.13","338.50","327.27","4.72M","-1.97%"
"01/09/2020","335.66","342.00","343.42","334.61","4.72M","-1.06%"
"01/08/2020","339.26","331.49","342.70","331.05","7.11M","2.57%"
"01/07/2020","330.75","336.47","336.70","330.30","4.74M","-1.51%"
"01/06/2020","335.83","323.12","336.36","321.20","5.67M","3.05%"
"01/03/2020","325.90","326.78","329.86","325.53","3.80M","-1.19%"
"01/02/2020","329.81","326.10","329.98","324.78","4.35M","1.93%"
"12/31/2019","323.57","322.00","324.92","321.09","3.71M","0.08%"
"12/30/2019","323.31","329.08","329.19","322.86","4.32M","-1.76%"
"12/27/2019","329.09","332.96","333.82","326.01","5.04M","-1.06%"
"12/26/2019","332.63","334.60","336.46","332.01","3.60M","-0.17%"
"12/24/2019","333.20","334.01","335.70","331.60","2.02M","0.03%"
"12/23/2019","333.10","337.76","337.95","331.02","5.77M","-1.13%"
