"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2021","278.31","279.07","280.76","277.77","4.11M","-0.32%"
"07/13/2021","279.21","280.11","280.41","278.36","3.14M","-0.32%"
"07/12/2021","280.11","279.05","282.22","278.27","4.28M","-0.14%"
"07/09/2021","280.49","276.03","280.88","275.74","4.90M","2.33%"
"07/08/2021","274.10","276.99","277.74","273.16","5.37M","-1.84%"
"07/07/2021","279.24","275.99","279.69","275.80","4.41M","0.69%"
"07/06/2021","277.32","278.28","278.28","275.10","4.40M","-0.64%"
"07/02/2021","279.12","281.41","281.41","278.57","3.68M","-0.37%"
"07/01/2021","280.17","278.20","280.30","277.55","3.65M","0.81%"
"06/30/2021","277.92","275.89","278.44","275.66","4.48M","0.62%"
"06/29/2021","276.21","276.69","277.98","275.24","4.47M","-0.14%"
"06/28/2021","276.61","278.82","279.06","275.60","4.03M","-0.64%"
"06/25/2021","278.38","276.37","279.31","275.35","5.58M","1.05%"
"06/24/2021","275.49","275.00","276.58","274.05","5.46M","0.30%"
"06/23/2021","274.66","276.89","277.00","274.55","4.54M","-0.82%"
"06/22/2021","276.92","277.57","277.71","275.93","5.23M","-0.06%"
"06/21/2021","277.10","275.62","278.85","275.43","5.49M","1.12%"
"06/18/2021","274.04","276.50","276.98","272.45","12.57M","-1.67%"
"06/17/2021","278.69","284.29","284.50","277.56","7.14M","-1.56%"
"06/16/2021","283.11","283.73","284.80","281.08","5.63M","-0.29%"
"06/15/2021","283.94","284.46","284.96","282.65","3.76M","0.14%"
"06/14/2021","283.53","286.66","286.85","281.52","6.10M","-1.15%"
"06/11/2021","286.82","285.45","287.36","285.02","3.52M","0.67%"
"06/10/2021","284.91","289.88","290.81","284.68","4.04M","-1.27%"
"06/09/2021","288.58","288.88","289.09","287.05","3.50M","-0.21%"
"06/08/2021","289.19","289.18","289.90","285.70","5.04M","-0.09%"
"06/07/2021","289.46","292.56","292.58","288.84","4.44M","-1.05%"
"06/04/2021","292.52","292.91","293.08","291.45","3.27M","0.19%"
"06/03/2021","291.97","288.36","293.27","288.28","4.10M","0.67%"
"06/02/2021","290.02","290.85","290.90","289.22","3.52M","0.06%"
"06/01/2021","289.84","291.52","292.07","288.81","3.34M","0.14%"
"05/28/2021","289.44","289.68","290.46","288.23","4.52M","0.05%"
"05/27/2021","289.30","288.57","289.99","286.57","6.61M","0.69%"
"05/26/2021","287.33","289.64","289.64","285.75","4.76M","0.05%"
"05/25/2021","287.20","290.19","291.60","287.11","4.75M","-0.87%"
"05/24/2021","289.73","289.11","290.41","287.91","3.95M","0.69%"
"05/21/2021","287.74","287.12","289.35","286.75","4.23M","0.35%"
"05/20/2021","286.73","288.41","289.14","285.90","4.14M","0.18%"
"05/19/2021","286.22","284.11","286.56","282.57","5.27M","-0.48%"
"05/18/2021","287.59","290.20","290.31","287.24","4.36M","-0.56%"
"05/17/2021","289.22","289.99","290.47","288.07","3.89M","-0.50%"
"05/14/2021","290.68","288.67","291.38","288.67","4.26M","1.32%"
"05/13/2021","286.90","282.91","288.37","282.85","5.25M","1.41%"
"05/12/2021","282.91","285.46","286.12","282.55","5.31M","-0.95%"
"05/11/2021","285.63","289.84","290.51","284.29","6.81M","-2.29%"
"05/10/2021","292.33","292.35","295.08","292.07","4.54M","0.48%"
"05/07/2021","290.93","289.97","291.07","287.77","6.10M","0.42%"
"05/06/2021","289.71","284.69","290.00","284.05","5.97M","2.46%"
"05/05/2021","282.76","282.52","284.24","282.12","4.35M","0.89%"
"05/04/2021","280.26","278.54","280.80","276.78","4.47M","0.39%"
"05/03/2021","279.18","278.55","281.12","277.67","5.19M","1.54%"
"04/30/2021","274.95","276.29","277.41","274.21","5.21M","-0.95%"
"04/29/2021","277.60","274.47","277.79","274.35","4.54M","1.70%"
"04/28/2021","272.95","273.54","273.96","272.13","3.18M","-0.26%"
"04/27/2021","273.65","271.07","274.16","270.05","3.18M","1.03%"
"04/26/2021","270.86","272.28","273.98","270.63","3.58M","-0.41%"
"04/23/2021","271.98","269.86","272.69","269.56","3.68M","0.92%"
"04/22/2021","269.51","272.04","272.08","268.78","3.73M","-0.99%"
"04/21/2021","272.21","267.80","272.46","267.75","3.90M","1.61%"
"04/20/2021","267.89","268.53","269.31","266.80","3.74M","-0.88%"
"04/19/2021","270.28","272.30","272.92","268.85","4.24M","-0.67%"
"04/16/2021","272.11","270.47","272.97","270.11","4.71M","1.10%"
"04/15/2021","269.14","268.06","269.28","266.39","3.92M","0.60%"
"04/14/2021","267.53","267.31","268.44","267.15","3.12M","0.16%"
"04/13/2021","267.10","267.42","268.20","266.05","3.56M","-0.31%"
"04/12/2021","267.93","266.53","268.34","266.53","4.29M","0.72%"
"04/09/2021","266.01","264.22","266.24","263.35","6.05M","0.95%"
"04/08/2021","263.51","262.72","263.93","261.91","3.11M","-0.04%"
"04/07/2021","263.62","262.99","264.34","262.40","3.59M","0.21%"
"04/06/2021","263.06","262.86","263.34","261.94","3.07M","0.15%"
"04/05/2021","262.66","260.02","263.35","260.00","5.05M","1.73%"
"04/01/2021","258.20","255.74","258.47","254.80","5.57M","1.07%"
"03/31/2021","255.47","256.86","257.68","255.17","6.58M","-1.05%"
"03/30/2021","258.19","259.94","261.00","257.24","3.88M","-0.24%"
"03/29/2021","258.82","253.93","260.05","253.30","6.64M","0.80%"
"03/26/2021","256.77","252.75","257.39","252.42","5.80M","2.40%"
"03/25/2021","250.75","249.38","251.53","246.79","5.51M","0.45%"
"03/24/2021","249.63","249.55","251.89","248.50","4.17M","0.53%"
"03/23/2021","248.31","250.20","251.17","247.71","4.62M","-0.82%"
"03/22/2021","250.36","250.60","251.67","248.86","5.37M","-0.25%"
"03/19/2021","250.99","252.31","252.50","248.52","16.65M","-0.58%"
"03/18/2021","252.46","253.76","255.64","251.38","5.56M","0.18%"
"03/17/2021","252.00","252.02","254.28","250.66","6.78M","0.20%"
"03/16/2021","251.50","254.53","254.53","249.82","6.72M","-1.22%"
"03/15/2021","254.61","260.31","260.44","253.52","6.98M","-2.08%"
"03/12/2021","260.02","262.40","264.65","259.67","4.50M","-0.34%"
"03/11/2021","260.91","264.22","264.80","260.42","5.92M","-1.17%"
"03/10/2021","263.99","260.30","267.50","259.64","8.95M","1.92%"
"03/09/2021","259.02","258.55","262.94","255.61","8.28M","0.55%"
"03/08/2021","257.61","255.60","260.23","253.73","7.14M","1.76%"
"03/05/2021","253.15","248.89","253.45","247.32","6.40M","3.12%"
"03/04/2021","245.48","251.08","252.55","243.23","7.84M","-2.41%"
"03/03/2021","251.55","249.73","254.81","249.29","6.09M","0.93%"
"03/02/2021","249.22","249.12","251.34","248.37","4.69M","0.00%"
"03/01/2021","249.21","246.86","250.55","246.09","6.33M","3.62%"
"02/26/2021","240.51","245.15","245.15","240.25","8.09M","-1.30%"
"02/25/2021","243.69","248.07","250.56","242.93","6.46M","-1.92%"
"02/24/2021","248.45","245.15","249.55","245.15","5.11M","1.19%"
"02/23/2021","245.53","245.56","246.57","243.29","5.46M","0.23%"
"02/22/2021","244.97","240.89","245.98","240.80","4.01M","1.29%"
"02/19/2021","241.85","244.20","244.95","241.36","4.25M","-0.68%"
"02/18/2021","243.50","244.73","245.49","241.67","4.05M","-0.71%"
"02/17/2021","245.25","244.14","246.19","244.00","4.32M","-0.01%"
"02/16/2021","245.28","244.14","247.26","242.82","4.73M","1.16%"
"02/12/2021","242.46","238.07","242.76","238.03","3.42M","1.13%"
"02/11/2021","239.76","239.36","240.44","238.88","2.91M","-0.07%"
"02/10/2021","239.92","241.43","241.52","239.04","3.83M","0.00%"
"02/09/2021","239.91","237.07","240.78","235.66","4.77M","1.05%"
"02/08/2021","237.42","236.00","237.56","235.35","3.33M","0.96%"
"02/05/2021","235.16","236.98","236.98","234.83","3.81M","-0.26%"
"02/04/2021","235.77","232.84","235.90","232.41","4.45M","1.33%"
"02/03/2021","232.68","232.40","233.16","231.28","3.81M","0.19%"
"02/02/2021","232.24","231.21","233.43","230.66","5.30M","1.27%"
"02/01/2021","229.32","229.97","230.50","228.04","4.07M","0.64%"
"01/29/2021","227.87","229.45","229.97","227.21","6.39M","-1.33%"
"01/28/2021","230.95","229.76","233.51","228.16","5.94M","1.58%"
"01/27/2021","227.36","230.00","230.00","226.10","8.23M","-1.82%"
"01/26/2021","231.57","233.00","233.50","231.33","3.95M","-0.62%"
"01/25/2021","233.01","231.67","233.52","230.45","5.10M","0.04%"
"01/22/2021","232.92","232.50","233.83","232.21","4.47M","-0.53%"
"01/21/2021","234.16","235.22","236.20","234.08","4.32M","-0.26%"
"01/20/2021","234.76","234.00","235.20","233.24","4.88M","0.09%"
"01/19/2021","234.55","234.64","236.24","231.70","5.50M","0.45%"
"01/15/2021","233.49","234.10","234.59","231.91","5.23M","-0.65%"
"01/14/2021","235.02","234.79","235.70","233.84","4.53M","0.22%"
"01/13/2021","234.51","232.00","234.95","231.71","3.83M","0.64%"
"01/12/2021","233.03","233.31","233.98","231.70","5.62M","-0.17%"
"01/11/2021","233.43","231.22","233.92","231.02","3.88M","-0.26%"
"01/08/2021","234.03","233.54","234.60","231.72","4.85M","0.49%"
"01/07/2021","232.88","232.78","233.96","231.33","4.69M","1.13%"
"01/06/2021","230.27","229.49","232.68","227.55","9.01M","1.23%"
"01/05/2021","227.47","228.21","230.10","226.85","5.53M","-0.43%"
"01/04/2021","228.45","231.73","231.87","226.85","7.41M","-1.47%"
"12/31/2020","231.87","229.28","232.28","228.89","4.23M","0.97%"
"12/30/2020","229.65","229.54","230.59","229.08","3.26M","0.03%"
"12/29/2020","229.57","230.50","231.10","229.10","3.80M","0.51%"
"12/28/2020","228.41","228.09","230.15","227.36","3.51M","0.83%"
"12/24/2020","226.53","224.60","227.13","224.21","2.39M","1.02%"
"12/23/2020","224.24","222.63","224.91","222.61","4.98M","1.06%"
"12/22/2020","221.88","223.58","223.75","221.76","6.17M","-0.72%"
"12/21/2020","223.49","222.02","224.20","221.26","7.38M","0.03%"
"12/18/2020","223.43","224.79","225.20","221.68","20.67M","-0.56%"
"12/17/2020","224.68","222.51","225.02","221.67","7.39M","1.25%"
"12/16/2020","221.91","225.48","225.48","221.82","7.99M","-1.10%"
"12/15/2020","224.38","224.83","225.86","222.73","5.17M","0.69%"
"12/14/2020","222.85","227.68","228.06","222.36","6.55M","-1.56%"
"12/11/2020","226.39","225.20","226.73","224.60","4.03M","-0.42%"
"12/10/2020","227.35","226.45","227.87","225.73","4.57M","-0.07%"
"12/09/2020","227.51","228.57","228.90","226.63","4.87M","-0.30%"
"12/08/2020","228.19","227.46","228.74","226.61","4.59M","-0.46%"
"12/07/2020","229.24","231.26","231.26","228.10","4.74M","-0.91%"
"12/04/2020","231.35","230.24","231.89","230.24","4.75M","0.14%"
"12/03/2020","231.02","230.00","231.50","228.87","4.70M","0.26%"
"12/02/2020","230.42","229.80","230.59","228.31","4.68M","0.32%"
"12/01/2020","229.68","230.23","231.98","229.34","4.44M","0.34%"
"11/30/2020","228.91","231.19","231.29","228.16","5.99M","-1.14%"
"11/27/2020","231.55","233.10","234.17","230.45","1.94M","-0.68%"
"11/25/2020","233.13","233.92","234.00","232.01","3.25M","-0.34%"
"11/24/2020","233.92","232.45","234.99","231.24","4.71M","1.91%"
"11/23/2020","229.54","229.77","230.50","228.04","3.63M","1.11%"
"11/20/2020","227.01","228.78","229.72","226.77","4.03M","-1.10%"
"11/19/2020","229.53","229.67","229.97","227.62","4.62M","-0.23%"
"11/18/2020","230.07","233.57","234.48","230.00","4.74M","-1.33%"
"11/17/2020","233.16","231.93","234.97","230.01","5.04M","0.03%"
"11/16/2020","233.10","230.58","233.46","229.86","5.77M","2.50%"
"11/13/2020","227.42","226.50","228.15","225.29","4.79M","1.20%"
"11/12/2020","224.72","225.01","225.88","223.18","5.11M","-1.17%"
"11/11/2020","227.37","228.50","228.98","225.47","4.79M","-0.49%"
"11/10/2020","228.48","221.82","228.61","220.94","7.06M","3.15%"
"11/09/2020","221.50","221.97","225.23","218.01","11.34M","6.06%"
"11/06/2020","208.85","208.45","210.26","207.59","4.32M","0.67%"
"11/05/2020","207.45","208.69","210.86","206.97","5.94M","0.62%"
"11/04/2020","206.17","206.59","210.15","204.78","5.98M","-0.22%"
"11/03/2020","206.63","206.93","209.80","206.36","5.47M","1.14%"
"11/02/2020","204.31","204.84","206.18","203.06","5.94M","1.19%"
"10/30/2020","201.90","200.51","202.27","198.70","5.76M","0.19%"
"10/29/2020","201.51","200.03","202.96","197.81","5.23M","0.40%"
"10/28/2020","200.70","202.68","203.88","199.79","7.54M","-2.99%"
"10/27/2020","206.88","208.00","208.48","206.58","3.04M","-0.77%"
"10/26/2020","208.49","209.64","210.26","207.00","4.72M","-1.98%"
"10/23/2020","212.71","212.43","213.87","211.73","2.83M","0.52%"
"10/22/2020","211.61","209.63","211.78","209.23","2.95M","0.68%"
"10/21/2020","210.18","208.97","211.38","208.61","3.20M","0.06%"
"10/20/2020","210.06","209.63","211.45","209.41","3.89M","0.51%"
"10/19/2020","208.99","212.16","212.32","208.20","3.41M","-1.38%"
"10/16/2020","211.91","211.84","213.83","211.81","3.63M","0.12%"
"10/15/2020","211.65","209.27","211.99","208.22","3.06M","0.35%"
"10/14/2020","210.91","212.02","212.35","210.54","5.03M","-0.66%"
"10/13/2020","212.31","215.76","216.38","212.00","4.85M","-1.89%"
"10/12/2020","216.41","216.74","217.43","215.12","3.90M","0.34%"
"10/09/2020","215.68","215.88","216.29","214.16","3.09M","0.25%"
"10/08/2020","215.15","214.39","215.69","213.44","3.61M","0.87%"
"10/07/2020","213.29","212.33","214.67","211.36","3.76M","1.44%"
"10/06/2020","210.26","212.65","213.48","209.65","5.32M","-0.99%"
"10/05/2020","212.36","213.09","213.90","212.05","3.65M","0.56%"
"10/02/2020","211.18","209.84","213.68","209.53","4.42M","-0.40%"
"10/01/2020","212.02","214.30","214.38","210.62","4.76M","-0.43%"
"09/30/2020","212.94","211.11","213.70","210.75","5.82M","1.19%"
"09/29/2020","210.44","213.59","213.59","210.24","4.04M","-1.45%"
"09/28/2020","213.54","213.22","215.47","212.02","5.04M","1.47%"
"09/25/2020","210.45","207.00","211.11","206.82","3.56M","0.83%"
"09/24/2020","208.72","209.14","210.23","206.58","3.96M","-0.42%"
"09/23/2020","209.61","213.94","214.88","209.38","4.42M","-2.12%"
"09/22/2020","214.16","212.54","214.75","211.70","5.29M","0.54%"
"09/21/2020","213.02","214.00","215.45","208.73","8.34M","-2.38%"
"09/18/2020","218.21","219.08","221.01","217.83","11.86M","0.07%"
"09/17/2020","218.05","218.46","218.68","216.50","6.94M","-0.70%"
"09/16/2020","219.59","220.28","222.26","219.19","5.66M","0.30%"
"09/15/2020","218.94","220.08","221.57","218.45","3.86M","-0.45%"
"09/14/2020","219.94","219.00","221.32","218.30","4.07M","0.92%"
"09/11/2020","217.93","218.00","219.26","216.92","3.44M","0.06%"
"09/10/2020","217.80","220.54","220.68","217.15","3.84M","-0.83%"
"09/09/2020","219.63","218.95","221.62","218.52","5.42M","0.84%"
"09/08/2020","217.80","217.28","219.19","215.34","7.00M","-0.24%"
"09/04/2020","218.32","219.95","221.48","215.06","6.04M","0.08%"
"09/03/2020","218.15","222.00","223.24","216.43","7.10M","-1.59%"
"09/02/2020","221.68","218.13","222.09","218.13","5.50M","1.43%"
"09/01/2020","218.55","216.92","218.59","216.62","4.13M","0.23%"
"08/31/2020","218.04","218.62","219.45","217.65","6.13M","-0.23%"
"08/28/2020","218.55","217.51","218.81","215.73","4.29M","0.77%"
"08/27/2020","216.87","214.99","217.98","214.76","4.81M","1.03%"
"08/26/2020","214.66","212.98","215.83","212.30","4.64M","0.61%"
"08/25/2020","213.35","213.56","214.00","212.85","3.68M","0.35%"
"08/24/2020","212.61","209.23","213.30","208.91","5.04M","2.50%"
"08/21/2020","207.43","205.52","208.40","205.52","4.79M","0.64%"
"08/20/2020","206.12","205.17","206.79","204.51","4.13M","-0.53%"
"08/19/2020","207.21","209.19","210.21","206.66","5.83M","-0.54%"
"08/18/2020","208.33","206.95","209.76","206.80","3.50M","0.75%"
"08/17/2020","206.78","210.05","210.82","206.34","5.49M","-1.98%"
"08/14/2020","210.96","211.04","211.97","210.25","3.44M","-0.48%"
"08/13/2020","211.98","212.93","213.33","211.66","4.54M","-0.59%"
"08/12/2020","213.24","213.10","214.39","212.31","4.79M","0.27%"
"08/11/2020","212.66","214.74","215.60","212.24","5.69M","0.04%"
"08/10/2020","212.58","211.34","212.92","209.40","6.64M","1.48%"
"08/07/2020","209.48","204.20","209.75","204.00","6.19M","2.18%"
"08/06/2020","205.02","203.00","205.39","202.70","3.39M","0.69%"
"08/05/2020","203.62","201.44","204.69","201.00","5.27M","1.69%"
"08/04/2020","200.24","198.97","200.31","198.11","3.84M","0.49%"
"08/03/2020","199.26","197.28","200.68","196.00","6.25M","1.78%"
"07/31/2020","195.78","195.06","196.00","193.33","5.94M","0.76%"
"07/30/2020","194.30","193.43","194.57","192.25","4.83M","-1.07%"
"07/29/2020","196.41","194.03","196.67","193.73","4.07M","1.18%"
"07/28/2020","194.12","190.90","194.46","190.61","4.41M","1.03%"
"07/27/2020","192.14","193.83","193.99","191.77","4.31M","-1.22%"
"07/24/2020","194.52","193.25","196.28","193.05","5.14M","0.66%"
"07/23/2020","193.25","191.71","193.39","191.48","6.04M","0.60%"
"07/22/2020","192.10","191.78","192.24","190.63","4.18M","-0.09%"
"07/21/2020","192.27","190.40","193.45","190.40","5.26M","0.94%"
"07/20/2020","190.48","190.02","191.23","189.48","4.09M","-0.15%"
"07/17/2020","190.76","191.77","192.12","190.47","5.19M","-0.13%"
"07/16/2020","191.01","188.32","191.93","188.32","4.77M","0.24%"
"07/15/2020","190.56","192.64","193.05","188.75","7.56M","0.45%"
"07/14/2020","189.71","182.42","190.08","182.42","14.69M","3.03%"
"07/13/2020","184.13","183.81","185.82","183.31","7.89M","0.67%"
"07/10/2020","182.90","178.26","182.96","178.09","5.49M","2.29%"
"07/09/2020","178.80","181.79","181.88","177.77","5.42M","-1.32%"
"07/08/2020","181.20","180.42","182.31","179.77","5.56M","0.03%"
"07/07/2020","181.15","182.02","182.49","180.60","4.96M","-0.86%"
"07/06/2020","182.72","183.10","183.52","181.59","6.45M","2.18%"
"07/02/2020","178.83","180.45","180.94","178.24","5.17M","0.47%"
"07/01/2020","177.99","178.41","180.45","177.34","4.62M","-0.29%"
"06/30/2020","178.51","176.75","179.12","176.51","6.77M","0.74%"
"06/29/2020","177.19","175.90","177.22","175.33","5.22M","1.04%"
"06/26/2020","175.37","176.71","178.70","174.63","14.78M","-1.95%"
"06/25/2020","178.85","176.58","179.72","176.06","6.39M","0.74%"
"06/24/2020","177.53","179.61","179.65","177.26","8.09M","-1.92%"
"06/23/2020","181.01","181.87","182.39","180.40","6.38M","0.47%"
"06/22/2020","180.17","179.55","181.80","178.87","5.82M","0.25%"
"06/19/2020","179.72","183.50","183.88","179.01","8.77M","-0.56%"
"06/18/2020","180.73","179.90","181.36","179.04","4.92M","-0.07%"
"06/17/2020","180.86","183.03","183.15","180.11","6.46M","-0.79%"
"06/16/2020","182.30","186.55","186.70","179.75","9.41M","0.41%"
"06/15/2020","181.55","177.00","181.77","176.05","8.11M","0.19%"
"06/12/2020","181.21","184.02","184.02","178.22","9.48M","1.79%"
"06/11/2020","178.02","185.00","186.93","177.93","15.39M","-7.04%"
"06/10/2020","191.51","195.85","196.34","191.37","7.35M","-2.33%"
"06/09/2020","196.07","197.15","198.79","195.83","7.74M","-2.72%"
"06/08/2020","201.56","202.34","203.33","199.56","6.71M","0.45%"
"06/05/2020","200.66","197.88","201.49","196.22","10.40M","4.48%"
"06/04/2020","192.05","190.41","192.11","189.69","5.82M","0.64%"
"06/03/2020","190.82","188.75","191.62","187.81","6.71M","2.62%"
"06/02/2020","185.94","183.99","186.44","183.99","5.81M","1.14%"
"06/01/2020","183.84","185.53","185.71","183.18","5.72M","-0.94%"
"05/29/2020","185.58","183.08","185.87","182.53","10.63M","0.26%"
"05/28/2020","185.10","187.24","187.28","183.92","6.32M","-0.36%"
"05/27/2020","185.77","184.66","185.98","183.80","7.42M","3.01%"
"05/26/2020","180.34","179.99","181.69","178.68","7.11M","3.09%"
"05/22/2020","174.93","174.86","175.12","173.21","3.59M","-0.01%"
"05/21/2020","174.94","175.74","176.65","174.47","4.06M","-0.61%"
"05/20/2020","176.02","174.61","176.87","174.29","5.46M","2.05%"
"05/19/2020","172.49","174.12","174.87","172.34","5.58M","-1.69%"
"05/18/2020","175.46","174.00","176.87","172.31","7.46M","3.67%"
"05/15/2020","169.25","169.82","170.66","168.52","5.94M","-0.98%"
"05/14/2020","170.93","168.80","171.40","167.04","7.02M","0.21%"
"05/13/2020","170.57","172.00","172.61","169.44","10.26M","-1.30%"
"05/12/2020","172.81","175.20","175.71","172.73","6.48M","-1.05%"
"05/11/2020","174.64","175.23","175.96","173.61","9.24M","-1.24%"
"05/08/2020","176.83","176.71","177.26","174.28","5.80M","1.93%"
"05/07/2020","173.48","173.40","175.38","173.05","6.70M","0.64%"
"05/06/2020","172.38","176.94","177.04","172.34","9.02M","-2.07%"
"05/05/2020","176.03","180.04","180.23","175.93","9.02M","-1.08%"
"05/04/2020","177.95","179.78","180.36","176.34","9.46M","-2.58%"
"05/01/2020","182.67","185.21","185.89","181.64","7.52M","-2.50%"
"04/30/2020","187.36","188.30","189.87","186.71","8.22M","-1.19%"
"04/29/2020","189.61","190.64","192.68","188.93","7.65M","1.33%"
"04/28/2020","187.12","190.54","191.00","187.00","6.68M","-0.18%"
"04/27/2020","187.46","187.78","189.37","186.35","6.63M","0.50%"
"04/24/2020","186.52","187.08","187.28","184.42","5.21M","0.48%"
"04/23/2020","185.63","186.99","187.35","184.50","6.21M","-0.51%"
"04/22/2020","186.58","186.46","187.37","185.34","5.47M","1.69%"
"04/21/2020","183.48","184.17","185.78","183.28","5.89M","-2.79%"
"04/20/2020","188.75","188.72","189.35","187.30","6.48M","-1.28%"
"04/17/2020","191.20","192.89","192.90","189.02","8.28M","1.72%"
"04/16/2020","187.96","188.90","188.99","185.80","6.26M","-0.32%"
"04/15/2020","188.57","188.56","189.59","187.47","6.14M","-2.26%"
"04/14/2020","192.94","193.32","194.16","190.82","7.03M","2.21%"
"04/13/2020","188.77","193.85","193.85","186.08","7.90M","-2.62%"
"04/09/2020","193.84","194.00","197.23","191.45","10.53M","1.48%"
"04/08/2020","191.01","187.55","191.42","185.14","6.11M","3.11%"
"04/07/2020","185.25","191.99","192.00","184.90","8.15M","0.01%"
"04/06/2020","185.24","184.61","186.41","180.49","9.94M","3.87%"
"04/03/2020","178.34","178.59","180.22","175.44","6.65M","-0.77%"
"04/02/2020","179.73","175.00","180.31","174.22","7.28M","2.15%"
"04/01/2020","175.95","176.18","178.67","174.19","8.68M","-3.76%"
"03/31/2020","182.83","182.05","186.17","180.57","9.00M","-0.19%"
"03/30/2020","183.18","180.04","184.11","178.00","7.67M","1.96%"
"03/27/2020","179.66","178.50","184.24","176.72","10.26M","-2.31%"
"03/26/2020","183.90","181.29","184.96","179.59","14.15M","1.90%"
"03/25/2020","180.47","180.01","189.07","175.17","13.86M","1.27%"
"03/24/2020","178.20","170.91","179.14","169.53","14.09M","9.91%"
"03/23/2020","162.13","165.30","166.69","159.50","16.51M","-4.66%"
"03/20/2020","170.06","176.30","177.18","167.29","15.22M","-2.64%"
"03/19/2020","174.68","170.21","176.18","166.00","12.49M","1.30%"
"03/18/2020","172.44","177.29","181.39","167.00","16.68M","-8.08%"
"03/17/2020","187.60","181.88","187.81","177.00","15.08M","5.53%"
"03/16/2020","177.77","174.00","188.38","173.62","14.17M","-9.49%"
"03/13/2020","196.40","187.45","196.50","178.41","14.87M","11.61%"
"03/12/2020","175.97","183.60","187.67","175.00","22.30M","-9.59%"
"03/11/2020","194.64","197.32","198.13","192.87","9.59M","-3.99%"
"03/10/2020","202.73","201.35","202.86","195.05","10.93M","4.97%"
"03/09/2020","193.13","195.00","198.48","192.26","13.99M","-6.24%"
"03/06/2020","205.98","203.48","207.41","202.35","9.44M","-1.43%"
"03/05/2020","208.96","212.55","212.75","207.01","8.11M","-4.09%"
"03/04/2020","217.86","212.14","218.34","209.26","7.41M","4.33%"
"03/03/2020","208.81","217.39","218.15","206.20","10.72M","-4.05%"
"03/02/2020","217.63","207.25","218.80","204.43","10.41M","5.47%"
"02/28/2020","206.34","201.92","206.44","199.68","15.15M","-0.64%"
"02/27/2020","207.67","212.90","214.38","207.28","10.95M","-3.88%"
"02/26/2020","216.06","219.65","220.63","215.94","6.91M","-0.91%"
"02/25/2020","218.05","222.20","223.24","216.76","8.56M","-1.64%"
"02/24/2020","221.69","221.31","223.94","220.27","7.93M","-3.33%"
"02/21/2020","229.33","227.53","230.07","226.98","4.70M","0.51%"
"02/20/2020","228.17","229.76","229.79","227.15","3.55M","-0.47%"
"02/19/2020","229.24","227.68","229.71","226.93","3.19M","1.09%"
"02/18/2020","226.77","226.39","227.38","225.27","3.15M","-0.01%"
"02/14/2020","226.80","226.49","227.14","225.52","2.51M","0.15%"
"02/13/2020","226.47","226.53","227.40","226.10","2.84M","-0.43%"
"02/12/2020","227.44","227.60","228.84","226.91","3.79M","0.05%"
"02/11/2020","227.33","228.59","228.59","227.02","2.92M","0.10%"
"02/10/2020","227.11","227.17","227.75","225.13","2.95M","-0.12%"
"02/07/2020","227.38","228.07","228.62","226.67","2.89M","-0.97%"
"02/06/2020","229.61","229.56","230.08","228.53","2.80M","0.42%"
"02/05/2020","228.65","226.91","228.68","226.75","3.36M","1.59%"
"02/04/2020","225.08","226.15","226.94","224.79","3.64M","0.72%"
"02/03/2020","223.47","225.48","226.32","223.00","3.53M","-0.43%"
"01/31/2020","224.43","226.49","226.97","223.43","3.95M","-1.51%"
"01/30/2020","227.88","223.11","228.08","222.48","3.36M","1.51%"
"01/29/2020","224.50","224.75","226.40","224.31","2.31M","0.21%"
"01/28/2020","224.03","223.44","225.35","223.16","3.61M","0.71%"
"01/27/2020","222.45","223.70","223.90","221.11","5.46M","-1.94%"
"01/24/2020","226.86","229.40","229.41","226.04","4.02M","-1.10%"
"01/23/2020","229.38","229.43","229.77","227.35","4.75M","-0.07%"
"01/22/2020","229.54","229.00","230.38","228.41","3.16M","0.40%"
"01/21/2020","228.63","229.85","231.13","227.95","5.84M","-0.68%"
"01/17/2020","230.20","230.13","231.61","229.55","6.60M","0.20%"
"01/16/2020","229.73","229.34","230.03","228.52","3.04M","0.60%"
"01/15/2020","228.35","226.80","228.64","226.78","2.66M","0.52%"
"01/14/2020","227.17","227.85","228.39","226.88","3.36M","-0.56%"
"01/13/2020","228.45","227.05","228.47","226.13","3.29M","0.81%"
"01/10/2020","226.62","228.50","228.53","226.59","2.57M","-0.89%"
"01/09/2020","228.65","226.92","228.85","226.92","3.50M","1.18%"
"01/08/2020","225.99","226.03","227.84","225.87","3.78M","0.03%"
"01/07/2020","225.92","227.26","227.26","225.44","3.53M","-0.47%"
"01/06/2020","226.99","224.99","227.13","224.70","4.26M","0.36%"
"01/03/2020","226.18","225.69","227.43","225.48","3.02M","-0.97%"
"01/02/2020","228.39","227.51","228.39","226.71","3.77M","0.83%"
"12/31/2019","226.50","226.16","226.72","225.14","3.15M","0.33%"
"12/30/2019","225.76","226.14","226.60","224.67","2.77M","-0.17%"
"12/27/2019","226.14","226.86","226.97","225.57","2.77M","-0.14%"
"12/26/2019","226.45","225.92","226.51","225.64","1.73M","0.43%"
"12/24/2019","225.47","225.24","225.65","224.88","961.13K","0.00%"
"12/23/2019","225.48","226.61","226.67","224.93","3.50M","-0.37%"
"12/20/2019","226.31","226.24","227.80","225.56","11.57M","0.49%"
"12/19/2019","225.21","224.66","225.66","224.16","4.97M","0.09%"
